Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-072,651 Geary,Construction,(4) Site Work Permit Issued,651 Geary St,94102,318,20,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,12/04/2018,,06/04/2019,,Geary Place LLC,,,2014.0482,"2014.0482C,2014.0482PPA,2014.0482U,2014.0482VAR",07/07/2016,On-site BMR Project,52,6,12,0,1,3,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.78634415,-122.4138621,"(37.78634415, -122.4138621)"
2015-033d,Sunnydale Block 7,Construction,(4) Site Work Permit Issued,65 Santos St,94134,6311,11,10,Visitacion Valley,Visitacion Valley,MOHCD,MOHCD 100% Affordable,HOPE SF,Sunnydale HOPE SF,Not in an OCII Project Area,New Construction,Rental,,05/26/2025,06/11/2024,,05/26/2025,,Mercy Housing CA,Related California,,2010.0305PHA-05,,03/03/2017,,89,88,99,0,0,14,42,23,9,0,14,0,0,0,0,0,0,0,0,28,0,44,0,12,4,0,0,0,0,0,0,0,0,37.71150477,-122.4185294,"(37.71150477, -122.4185294)"
2020-027,2550 Irving,Construction,(5) First Construction Document Issued,2550 Irving St,94122,1724,38,4,Sunset/Parkside,Outer Sunset,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,06/04/2024,04/15/2024,06/26/2023,06/11/2024,04/15/2024,03/23/2026,Tenderloin Neighborhood Development Corporation (TNDC),,"2550 Irving Associates, L.P.",2021-012100PRJ,2021-012100PRJ,08/17/2022,,90,89,99,0,9,33,23,24,0,0,20,89,0,0,22,0,22,0,0,32,17,15,0,13,12,0,0,0,0,0,0,0,0,37.76334824,-122.4849559,"(37.76334824, -122.4849559)"
2015-006d,SFCLT Scattered Sites - 4042 Fulton,Building Rehabilitation (Construction),(5) First Construction Document Issued,4042-4048 Fulton St,94118,3726,63,1,Outer Richmond,Inner Richmond,MOHCD,MOHCD Preservation,Small Sites Program,SFCLT Scattered Sites,Not in an OCII Project Area,Rehabilitation,Rental,03/29/2017,08/15/2024,04/29/2024,,08/15/2024,04/30/2025,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,6,6,100,0,1,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.77315331,-122.4753159,"(37.77315331, -122.4753159)"
2009-002,180 Jones  / 181 Turk,Construction,(5) First Construction Document Issued,180 Jones St,94102,343,14,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,09/11/2020,05/31/2022,03/09/2016,,Eddie Tsang,,,2005.0267,"2005.0267C,2005.0267E,2005.0267K,2005.0267V",03/05/2009,On-site BMR Project,37,4,11,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,37.78282592,-122.4120934,"(37.78282592, -122.4120934)"
2016-073,1740 Market,Construction,(4) Site Work Permit Issued,1740 Market St,94102,855,10,6,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/05/2018,,06/05/2019,,Warner Schmalz,,,2014.0409,"2014.0409CUA,2014.0409ENV,2014.0409PPA,2014.0409U,2014.0409VAR",07/28/2016,On-site BMR Project,100,12,12,0,1,5,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.77254418,-122.4230085,"(37.77254418, -122.4230085)"
2022-012,5272-5280 3rd St,Pre-Construction,(3) Design with Entitlements Approved,5272-5280 3rd St,94124,5411,"014, 015",10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,11/15/2024,,Alfred Twu,,,2020-006131PRJ,,11/17/2022,On-site BMR Project; Fee Payment,12,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.72972726,-122.3927263,"(37.72972726, -122.3927263)"
2016-017,"Block 48, Phase 3 (Blocks H, I, K, L)",Construction,(4) Site Work Permit Issued,979 Oakdale Ave,94124,5319,30,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 1,New Construction,Ownership,,12/31/2025,10/14/2021,,12/31/2025,04/01/2029,,,,Not Applicable,,03/03/2015,,70,10,14,0,0,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.72865815,-122.3753607,"(37.72865815, -122.3753607)"
2016-089,Transbay Block 2 East (Family),Construction,(5) First Construction Document Issued,Address not yet assigned,94105,,,6,Financial District/South Beach,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Transbay,Transbay,New Construction,Rental,,05/11/2024,11/17/2023,06/07/2024,05/11/2024,06/03/2026,Mercy Housing CA,,Mercy Housing CA,Not Applicable,,11/01/2022,,184,182,99,0,17,75,53,37,0,0,28,142,0,0,40,0,40,0,0,32,14,32,0,68,36,0,0,0,0,0,0,0,0,37.78940059,-122.3923116,"(37.78940059, -122.3923116)"
2011-036,Parkmerced - Subsequent Phases,Pre-Construction,(3) Design with Entitlements Approved,3711 19th Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Parkmerced,Not in an OCII Project Area,New Construction,Rental,,,,,12/11/2018,,Maximus,,,2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,3522,176,5,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,37.71818666,-122.4790211,"(37.71818666, -122.4790211)"
2021-001,550 O'Farrell,Pre-Construction,(3) Design with Entitlements Approved,550 O'Farrell St,94102,318,9,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,01/13/2023,,Sandhill O'Farrell LLC,,,2017-004557PRJ,,01/14/2021,On-site BMR Project; Fee Payment,111,22,20,0,0,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,5,0,0,0,0,37.78596109,-122.4138318,"(37.78596109, -122.4138318)"
2019-002,820 Post St,Pre-Construction,(3) Design with Entitlements Approved,820 Post St,94109,300,003C,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,02/19/2021,,Elevation Architects,,,2016-015997PRJ,,02/21/2019,On-site BMR Project,12,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.78757568,-122.4153501,"(37.78757568, -122.4153501)"
2023-034,401 South Van Ness,Pre-Construction,(3) Design with Entitlements Approved,401 South Van Ness Ave,94103,3552,25,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,10/24/2025,,Prime Design LLC,,,,,10/26/2023,On-site BMR Project; Fee Payment,149,26,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,5,0,0,0,0,37.76663352,-122.4171973,"(37.76663352, -122.4171973)"
2016-003,"HPSY II-CPS, Block 11A",Pre-Construction,(3) Design with Entitlements Approved,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard II/Candlestick Point,Candlestick Point,New Construction,Rental,,06/01/2028,,,06/01/2028,,San Francisco Housing Development Corporation,Mercy Housing CA,"Candlestick Point 11a, LP",Not Applicable,,03/20/2018,,176,175,99,0,2,45,56,68,3,1,18,170,0,5,38,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,37.71119086,-122.3853739,"(37.71119086, -122.3853739)"
2016-129,CP-9a South,Pre-Construction,(3) Design with Entitlements Approved,89 Harney Way,94124,5000,35,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 2,New Construction,Ownership,,06/01/2028,,,06/01/2028,11/30/2029,,,,,,05/16/2017,,124,13,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.71178966,-122.3844951,"(37.71178966, -122.3844951)"
2018-009,600 20th,Pre-Construction,(3) Design with Entitlements Approved,600 20th St,94107,4058,2,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,06/12/2020,,Workshop 1,,,2016-008651PRJ,"2016-008651ENV,2016-008651ENX,2016-008651PPA,2016-008651TDM",06/14/2018,On-site BMR Project,21,3,14,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.76077864,-122.3876981,"(37.76077864, -122.3876981)"
2020-018,Balboa Reservoir Building E,Construction,(4) Site Work Permit Issued,TBD Lee Ave,94112,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Balboa Reservoir,Not in an OCII Project Area,New Construction,Rental,,05/29/2025,,,05/29/2025,,BRIDGE Housing,,,2018-007883PHA-03,File Number 200423,03/10/2021,,128,127,99,0,0,56,39,32,0,0,20,128,0,0,0,0,0,0,0,31,0,36,0,60,0,0,0,0,0,0,0,0,0,37.72553,-122.4538753,"(37.72553, -122.4538753)"
2015-023,Merry Go Round Shared Housing,Building Rehabilitation (Construction),(5) First Construction Document Issued,2976 23rd St,94110,6959,33,9,Mission,Mission,MOHCD,MOHCD Preservation,Small Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,05/28/2014,07/15/2019,10/15/2020,,07/15/2019,06/27/2025,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,14,14,100,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,37.75442056,-122.4116533,"(37.75442056, -122.4116533)"
2021-027,850 Bush,Pre-Construction,(3) Design with Entitlements Approved,850 Bush St,94108,274,8,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,12/15/2023,,"Leavitt Architecture, Inc.",,"Double-E, LLC",2015-005983PRJ,2015-005983PRJ,12/16/2021,On-site BMR Project,21,3,14,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.79011852,-122.4112496,"(37.79011852, -122.4112496)"
2018-041,1075-1089 Folsom,Construction,(4) Site Work Permit Issued,1075 Folsom St,94103,3754,"038, 039",6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/20/2019,,11/19/2020,,Jeffer Mangels Butler & Mitchell LLP,,,2016-008438PRJ,,11/21/2018,On-site BMR Project,48,12,25,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,3,0,0,0,0,37.77696201,-122.4070361,"(37.77696201, -122.4070361)"
2015-038,525 Harrison,Pre-Construction,(3) Design with Entitlements Approved,525 Harrison St,94105,3764,63,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,09/22/2017,,Hines Interests Ltd.,,,2013.0159,"2013.0159E,2013.0159T,2013.0159U,2013.0159X,2013.0159Z",09/24/2015,On-site BMR Project,205,25,12,0,5,9,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,37.78536721,-122.3932729,"(37.78536721, -122.3932729)"
2020-034,30 Van Ness,Construction,(4) Site Work Permit Issued,30 Van Ness Ave,94102,835,4,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,08/25/2021,03/16/2023,,,Lendlease,,,2017-008051PRJ,,,On-site BMR Project,333,83,25,0,7,24,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,17,0,0,33,0,0,37.77600521,-122.4190785,"(37.77600521, -122.4190785)"
2020-017,1979 Mission Family,Pre-Construction,(2) Predevelopment Feasibility,1979 Mission St,94110,3553,52,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,1979 Mission Family/PSH,Not in an OCII Project Area,New Construction,Rental,,02/15/2028,,,02/15/2028,,Mission Housing Development Properties III,,,,,,,149,148,99,0,0,60,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,37.76551352,-122.419386,"(37.76551352, -122.419386)"
2021-028,425 Broadway,Pre-Construction,(3) Design with Entitlements Approved,425 Broadway,94133,163,2,3,North Beach,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,12/15/2023,,Ian Birchall,,,2017-015678PRJ,"2024-005966CUA, 2024-005966PRJ (Modified Project), 2024-005966CUA",12/16/2021,On-site BMR Project; Fee Payment,42,5,12,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,37.79785016,-122.4040755,"(37.79785016, -122.4040755)"
2015-066,967 Mission (Land Dedication Site),Construction,(4) Site Work Permit Issued,967 Mission St,94103,3725,86,6,South of Market,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,09/30/2025,08/19/2024,,09/30/2025,10/15/2027,The John Stewart Company (delete),Bayview Hunters Point Multipurpose Senior Services,,2023-009146PRJ,,01/31/2024,,95,94,99,0,30,64,0,0,0,0,45,0,94,0,24,0,24,0,0,8,0,10,0,40,36,0,0,0,0,0,0,0,0,37.78129103,-122.4076103,"(37.78129103, -122.4076103)"
2022-008,618-630 Octavia,Pre-Construction,(3) Design with Entitlements Approved,618-630 Octavia St,94102,793,37,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,04/26/2024,,March Capital Fund,,,2020-004414PRJ,"2020-004414CUA, 2020-004414PRJ, 2019-003491PPA, 2020-004414ENV, 2020-004414MCM",04/28/2022,On-site BMR Project; Fee Payment,40,10,25,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,37.777967,-122.4244032,"(37.777967, -122.4244032)"
2017-011,555 Howard,Construction,(4) Site Work Permit Issued,555 Howard St,94105,3736,86,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,11/28/2018,,05/29/2019,,Pacific Howard Corporation,,,2015-008058PRJ,"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",03/02/2017,On-site BMR Project,69,10,14,0,0,3,5,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37.78737885,-122.3967762,"(37.78737885, -122.3967762)"
2023-014,4550-4570 Mission St,Pre-Construction,(3) Design with Entitlements Approved,4550-4570 Mission St,94112,3148,1,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,03/21/2025,,Schaub Ly Architects,,,2012-000438PRJ,,03/23/2023,On-site BMR Project,69,17,25,0,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,0,0,0,0,37.72512835,-122.4347094,"(37.72512835, -122.4347094)"
2023-003,40-42 Sycamore,Building Rehabilitation (Construction),(5) First Construction Document Issued,40-42 Sycamore St,94110,3576,68,9,Mission,Mission,MOHCD,MOHCD Preservation,Small Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,06/21/2023,12/20/2024,12/20/2024,12/20/2024,12/20/2024,10/03/2025,Mission Economic Development Agency,,Mission Economic Development Agency,,,,,5,5,100,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,37.76284162,-122.4202355,"(37.76284162, -122.4202355)"
2013-064,2293 Powell,Pre-Construction,(3) Design with Entitlements Approved,2293 Powell St,94133,41,154,3,North Beach,North Beach,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,12/07/2017,,Cynthia Wong,,,2013.0341,"2013.0341CND,2013.0341E,2013.0341U,2013.0341VAR",12/09/2015,On-site BMR Project,17,2,12,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.80564263,-122.4120054,"(37.80564263, -122.4120054)"
2023-018,2205 Mission,Pre-Construction,(2) Predevelopment Feasibility,2205 Mission St,94110,3590,35,9,Mission,Mission,MOHCD,Other Ownership Programs,BMR-Other,,Not in an OCII Project Area,New Construction,Ownership,,09/30/2025,10/02/2023,,09/30/2025,,Mission Economic Development Agency,,,2018-003616PRJ,8/9/2020,09/13/2023,On-site BMR Project,63,63,100,0,0,0,46,17,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,11,18,0,0,37.76168146,-122.418825,"(37.76168146, -122.418825)"
2024-004,Normandy Apartments,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,1155 Ellis St,94109,735,31,2,Western Addition,Western Addition,MOHCD,MOHCD Preservation,Big Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,01/31/2025,,,,,09/01/2026,Tenderloin Neighborhood Development Corporation (TNDC),,Tenderloin Neighborhood Development Corporation (TNDC),,,,,108,108,100,0,78,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,37.7830118,-122.4250322,"(37.7830118, -122.4250322)"
2022-013,555-585 Bryant,Construction,(5) First Construction Document Issued,555 Bryant St,94107,3776,40,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,11/22/2022,12/29/2022,11/15/2024,05/01/2025,"Reuben, Junius & Rose, LLP",,"Bryant Property, LLC",2021-000947PRJ,,11/17/2022,On-site BMR Project,500,71,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,16,0,0,0,16,0,0,0,0,37.77994629,-122.3968384,"(37.77994629, -122.3968384)"
2023-002,Treasure Island IC4.3 - HomeRise,Pre-Construction,(2) Predevelopment Feasibility,TBD Treasure Island,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Treasure Island,Not in an OCII Project Area,New Construction,Rental,,11/30/2026,,,11/30/2026,,The John Stewart Company,Catholic Charities San Francisco,"IC4.3 Family Housing, LP",,,,,150,120,80,0,5,45,58,32,10,0,0,149,0,0,0,0,0,0,0,0,0,94,0,0,25,0,0,0,0,0,0,30,0,37.82049476,-122.367362,"(37.82049476, -122.367362)"
2016-110,1270 Mission,Construction,(4) Site Work Permit Issued,1270 Mission St,94103,3701,21,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,10/17/2019,,10/26/2018,,AGI Avant,,,2014.0926,"2014.0926DNX,2014.0926GPA,2014.0926MAP,2014.0926PCA,2014.0926PPA,2014.0926SHD,2014.0926U,2014.0926VAR",10/27/2016,On-site BMR Project,299,64,21,0,16,33,12,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,61,0,0,3,0,0,0,0,0,0,0,37.77680708,-122.4144267,"(37.77680708, -122.4144267)"
2016-094,Mission Bay South Block 12 West,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94158,8710,6,6,Mission Bay,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Mission Bay South,Mission Bay,New Construction,Rental,,01/01/2028,,,01/01/2028,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,318,316,99,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,37.77104569,-122.3950121,"(37.77104569, -122.3950121)"
2016-126,CPN-Block 2a,Pre-Construction,(3) Design with Entitlements Approved,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 2,New Construction,Ownership,,06/01/2032,,,06/01/2032,,,,,,,03/20/2018,,130,7,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,37.7154215,-122.3855305,"(37.7154215, -122.3855305)"
2020-011,160 Freelon (Land Dedication Site),Construction,(4) Site Work Permit Issued,160 Freelon St,94107,3777,52,6,South of Market,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,06/17/2025,05/13/2024,04/09/2025,06/17/2025,,Related California,San Francisco Housing Development Corporation,,2022-008873PRJ,,02/09/2023,,85,84,99,0,15,24,22,23,0,0,13,57,0,0,22,0,22,0,0,0,0,27,0,25,32,0,0,0,0,0,0,0,0,37.77794636,-122.398148,"(37.77794636, -122.398148)"
2023-016,395 3rd St,Pre-Construction,(3) Design with Entitlements Approved,395 3rd St,94107,3750,86,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,06/27/2025,,"Reuben, Junius & Rose, LLP",,,2021-003762PRJ,,06/29/2023,On-site BMR Project; Fee Payment,524,84,16,0,15,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,17,0,0,0,18,0,0,0,0,37.78289586,-122.3974594,"(37.78289586, -122.3974594)"
2016-083,98 Pennsylvania,Construction,(4) Site Work Permit Issued,98 Pennsylvania Ave,94107,3948,2,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/05/2018,,06/05/2019,,Ciaran & Patrick Harty,,,2020-010275PRJ,,03/02/2023,On-site BMR Project; Fee Payment,64,9,14,0,2,3,3,1,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,37.76556181,-122.3941267,"(37.76556181, -122.3941267)"
2012-019b,Potrero Block B,Construction,(5) First Construction Document Issued,1801 25th St,94107,,,10,Potrero Hill,Potrero Hill,MOHCD,MOHCD 100% Affordable,HOPE SF,Potrero HOPE SF,Not in an OCII Project Area,New Construction,Rental,,08/11/2022,09/29/2021,08/22/2022,08/11/2022,07/25/2025,BRIDGE Housing,,"Potrero Housing Associates II, LP",2010.0515PHA,,,,157,156,99,0,0,40,54,51,11,0,24,155,0,0,0,0,0,117,0,49,0,106,0,1,0,0,0,0,0,0,0,0,0,37.75211281,-122.3966863,"(37.75211281, -122.3966863)"
2019-005,828 Brannan St,Pre-Construction,(3) Design with Entitlements Approved,828 Brannan St,94103,3780,004E,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,04/23/2021,,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",,,2015-015789PRJ,,04/25/2019,On-site BMR Project,50,9,18,0,2,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.77275248,-122.4040495,"(37.77275248, -122.4040495)"
2023-039a,Freedom West Senior,Pre-Construction,(1) Preliminary Phase,880 McAllister St,94102,770,27,5,Western Addition,Western Addition,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Freedom West,Western Addition-Area 2,New Construction,Rental,,,,,,,The John Stewart Company,Freedom West Homes Corporation,,,,,,115,114,99,0,0,81,33,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,73,41,0,0,0,0,0,0,0,0,37.77993551,-122.4250336,"(37.77993551, -122.4250336)"
2020-019,Balboa Reservoir Building A,Pre-Construction,(3) Design with Entitlements Approved,TBD Brighton Paseo Way,94112,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Balboa Reservoir,Not in an OCII Project Area,New Construction,Rental,,12/17/2025,,,05/01/2025,,BRIDGE Housing,,Balboa Gateway L.P.,,,,,159,157,99,0,17,46,53,41,0,0,16,157,0,0,0,0,0,0,0,0,40,0,0,39,78,0,0,0,0,0,0,0,0,37.72553,-122.4538752,"(37.72553, -122.4538752)"
2017-026,342-360 5th,Construction,(5) First Construction Document Issued,342-360 5th St,94107,3753,147,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,12/21/2018,05/04/2020,06/21/2019,,"Reuben, Junius & Rose, LLP",,,2015-005863PRJ,"2015-005863CUA,2015-005863ENV,2015-005863ENX,2015-005863PPA,2015-005863TDM",10/05/2017,On-site BMR Project,127,18,14,0,4,6,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,37.77941633,-122.4026092,"(37.77941633, -122.4026092)"
1984-004,Maria Alicia Apartments,Building Rehabilitation (Construction),(5) First Construction Document Issued,3090 16th St,94103,,,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,07/01/1989,10/22/2021,02/08/2022,,10/22/2021,06/01/2025,Mission Housing Development Corporation,,Mission Housing Development Corporation,,,,,20,19,95,0,0,1,2,11,6,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,4,37.76506779,-122.4215712,"(37.76506779, -122.4215712)"
